t,value
1758264660,133
1758264690,2389
1758264720,3384
1758264750,3384
1758264780,3384
1758264810,3384
1758264840,3384
1758264870,4512
1758264900,4512
1758264930,5076
1758265140,135
1758265170,135
1758265200,2
1758265230,2
1758265260,566
1758265290,566
1758265320,566
1758265350,566
1758265380,566
1758265410,566
1758265440,566
1758265470,2
1758266130,135
1758266160,135
1758266190,2
1758266220,2
1758266250,2
1758266400,135
1758266430,135
1758266460,2
1758266490,2
1758266520,2
1758266550,2
1758266580,2
1758266610,2
1758266640,2
1758266670,2
1758266700,2
1758266730,2
1758266760,2
1758266790,2
1758266820,2
1758266850,566
1758266880,566
1758266910,566
1758266940,566
1758266970,566
1758267000,17434
1758267030,17434
1758267060,16966
1758267090,16966
1758267120,16966
1758267150,16966
1758267180,16966
1758267210,16966
1758267240,16966
1758267270,16966
1758267300,16966
1758267330,16966
1758267360,16966
1758267390,16966
1758267420,16966
1758267450,16966
1758267480,16966
1758267510,16966
1758267540,16966
1758267570,16966
1758267600,16966
1758267630,16966
1758267660,16966
1758267690,16966
1758267720,16966
1758267750,16966
1758267780,16966
1758267810,16966
1758267840,16966
1758267870,16966
1758267900,16966
1758267930,16966
1758267960,16966
1758267990,16966
1758268020,16966
1758268050,16966
1758268080,16966
1758268110,16966
1758268140,16966
1758268170,16966
1758268200,16966
1758268231,16966
1758268261,16966
1758268291,16966
1758268321,16966
1758268351,16966
1758268381,16966
1758268411,16966
1758268441,16966
1758268471,16966
1758268501,16966
1758268531,16966
1758268561,16966
1758268591,16966
1758268621,16966
1758268651,16966
1758268681,16966
1758268711,16966
1758268741,16966
1758268771,16966
1758268801,16966
1758268831,16966
1758268861,16966
1758268891,16966
1758268921,16966
1758268951,16966
1758268981,16966
1758269011,16966
1758269041,16966
1758269071,16966
1758269101,16966
1758269131,16966
1758269161,16966
1758269191,16966
1758269221,16966
1758269251,16966
1758269281,16966
1758269311,16966
1758269341,16966
1758269371,16966
1758269401,16966
1758269431,16966
1758269461,16966
1758269491,16966
1758269521,16966
1758269551,16966
1758269581,16966
1758269611,16966
1758269641,16966
1758269671,16966
1758269701,16966
1758269731,16966
1758269761,16966
1758269791,16966
1758269821,16966
1758269851,16966
1758269881,16966
1758269911,16966
1758269941,16966
1758269971,16966
1758270001,16966
1758270031,16966
1758270061,16966
1758270091,16966
1758270121,16966
1758270151,16966
1758270181,16966
1758270211,16966
1758270241,16966
1758270271,16966
1758270301,16966
1758270331,16966
1758270362,17530
1758270392,17530
1758270422,17530
1758270452,1146
1758270482,1146
1758270512,1146
1758270542,1146
1758270572,1146
1758270602,1146
1758270632,1146
1758270662,1146
1758270692,1146
1758270722,1146
1758270752,1146
1758270782,1146
1758270812,1146
1758270842,1146
1758270872,1146
1758270902,1146
1758270932,1146
1758496830,1263
1758496860,1263
1758496890,1130
1758496920,1130
1758496950,1130
1758496980,1130
1758497010,1130
1758497040,1130
1758497070,1130
1758497100,1130
1758497130,1130
1758497160,3386
1758497190,3950
1758497220,3950
1758497250,3950
1758497280,3950
1758497310,3950
1758497340,3950
1758497370,3950
1758497400,27463795
1758497430,27616616
1758497460,27616148
1758497490,27616148
1758497520,27616148
1758497550,27616148
1758497580,27616148
1758497610,27616148
1758497640,27616148
1758497670,27616148
1758497700,27616148
1758497730,27616148
1758497760,27616148
1758497790,27616148
1758497820,27616148
1758497850,27616148
1758497880,27616148
1758497910,27616148
1758497940,27616148
1758497970,27616148
1758498000,27616148
1758498030,27616148
1758498060,27616148
1758498090,27616148
1758498120,27616148
1758498150,27616148
1758498180,27616148
1758498210,27616148
1758498240,27616148
1758498270,27616148
1758498300,27616148
1758498330,27616148
1758498360,27616148
1758498390,27616148
1758498420,27616148
1758498450,27616148
1758498480,27616148
1758498510,27616148
1758498540,27616148
1758498570,27616148
1758498780,135
1758498810,27598732
1758498840,27598599
1758498870,27598599
1758498900,27598599
1758498930,27598599
1758498960,27598603
1758498990,27598603
1758499020,27598603
1758499050,27598603
1758499080,27627855
1758499110,27627855
1758499140,27627855
1758499170,27627855
1758499200,27627855
1758499230,27627855
1758499260,27627167
1758499290,27627167
1758499320,27627167
1758499350,27627167
1758499380,27644035
1758499410,27644035
1758499440,27643567
1758499470,27643567
1758499500,27644385
1758499530,27644385
1758499560,27644385
1758499590,27644385
1758499620,27644385
1758499650,27644385
1758499680,27644385
1758499710,27644385
1758499740,27644385
1758499770,27644385
1758499800,27644385
1758499830,27644385
1758499860,27644385
1758499890,27644385
1758499920,27632929
1758499980,135
1758500010,135
1758500040,2
1758500070,566
1758500100,1694
1758500130,1694
1758500160,1694
1758500190,1694
1758500220,1694
1758500250,1694
1758500280,1694
1758500310,1694
1758500340,1694
1758500370,1694
1758500400,1694
1758500430,1694
1758500460,1694
1758500490,1694
1758500520,1694
1758500550,1694
1758500580,18562
1758500610,18562
1758500640,18094
1758500670,18094
1758500700,18094
1758500730,1710
1758500760,1710
1758500790,1710
1758500820,1710
1758500850,1710
1758500880,1710
1758500910,1710
1758500940,1710
1758500970,1710
1758501000,1710
1758501030,1710
1758501060,1710
1758501090,1710
1758501120,1710
1758501150,1710
1758501180,1710
1758501211,1710
1758501241,1710
1758501271,1710
1758501301,1710
1758501331,1710
1758501361,1710
1758501391,1710
1758501421,1710
1758501451,1710
1758501481,1710
1758501511,1710
1758501541,1710
1758501571,1710
1758501601,1710
1758501631,1710
1758501661,1710
1758501691,1710
1758501721,1710
1758501751,1710
1758501781,1710
1758501811,1710
1758501841,1710
1758501871,1710
1758501901,1710
1758501931,1710
1758501961,1710
1758501991,1710
1758502021,1710
1758502051,1710
1758502081,1710
1758502111,1710
1758502141,1710
1758502171,1710
1758502201,1710
1758502231,1710
1758502261,1710
1758502291,1710
1758502321,1710
1758502351,1710
1758502381,1710
1758502411,1710
1758502441,1710
1758502471,1710
1758502501,1710
1758502531,1710
1758502561,1710
1758502591,1710
1758502621,1710
1758502651,1710
