t,value
1758264660,243269632
1758264690,258998272
1758264720,273678336
1758264750,276824064
1758264780,284164096
1758264810,127926272
1758264840,16777216
1758264870,22020096
1758264900,42991616
1758264930,47185920
1758265140,123731968
1758265170,127926272
1758265200,144703488
1758265230,146800640
1758265260,161480704
1758265290,163577856
1758265320,168820736
1758265350,169869312
1758265380,176160768
1758265410,182452224
1758265440,188743680
1758265470,296747008
1758266100,58720256
1758266130,112197632
1758266160,121634816
1758266190,8388608
1758266220,95420416
1758266250,189792256
1758266400,31457280
1758266430,35651584
1758266460,51380224
1758266490,53477376
1758266520,58720256
1758266550,60817408
1758266580,66060288
1758266610,73400320
1758266640,78643200
1758266670,81788928
1758266700,88080384
1758266730,90177536
1758266760,96468992
1758266790,98566144
1758266820,103809024
1758266850,180355072
1758266880,228589568
1758266910,229638144
1758266940,234881024
1758266970,236978176
1758267000,115343360
1758267030,118489088
1758267060,122683392
1758267090,124780544
1758267120,128974848
1758267150,130023424
1758267180,135266304
1758267210,136314880
1758267240,140509184
1758267270,142606336
1758267300,146800640
1758267330,148897792
1758267360,153092096
1758267390,154140672
1758267420,158334976
1758267450,160432128
1758267480,164626432
1758267510,166723584
1758267540,170917888
1758267570,173015040
1758267600,178257920
1758267630,179306496
1758267660,184549376
1758267690,185597952
1758267720,189792256
1758267750,191889408
1758267780,196083712
1758267810,198180864
1758267840,202375168
1758267870,203423744
1758267900,208666624
1758267930,209715200
1758267960,213909504
1758267990,216006656
1758268020,220200960
1758268050,221249536
1758268080,226492416
1758268110,227540992
1758268140,231735296
1758268170,233832448
1758268200,239075328
1758268231,240123904
1758268261,245366784
1758268291,246415360
1758268321,250609664
1758268351,252706816
1758268381,256901120
1758268411,257949696
1758268441,262144000
1758268471,264241152
1758268501,268435456
1758268531,270532608
1758268561,274726912
1758268591,275775488
1758268621,279969792
1758268651,282066944
1758268681,286261248
1758268711,287309824
1758268741,291504128
1758268771,293601280
1758268801,2097152
1758268831,4194304
1758268861,9437184
1758268891,10485760
1758268921,14680064
1758268951,16777216
1758268981,20971520
1758269011,22020096
1758269041,26214400
1758269071,28311552
1758269101,32505856
1758269131,34603008
1758269161,38797312
1758269191,39845888
1758269221,44040192
1758269251,45088768
1758269281,50331648
1758269311,51380224
1758269341,55574528
1758269371,56623104
1758269401,61865984
1758269431,62914560
1758269461,68157440
1758269491,69206016
1758269521,73400320
1758269551,74448896
1758269581,78643200
1758269611,80740352
1758269641,84934656
1758269671,85983232
1758269701,90177536
1758269731,92274688
1758269761,96468992
1758269791,97517568
1758269821,102760448
1758269851,103809024
1758269881,108003328
1758269911,109051904
1758269941,113246208
1758269971,115343360
1758270001,120586240
1758270031,122683392
1758270061,125829120
1758270091,127926272
1758270121,132120576
1758270151,134217728
1758270181,138412032
1758270211,139460608
1758270241,143654912
1758270271,145752064
1758270301,149946368
1758270331,150994944
1758270362,245366784
1758270392,263192576
1758270422,274726912
1758270452,13631488
1758270482,30408704
1758270512,42991616
1758270542,82837504
1758270572,92274688
1758270602,101711872
1758270632,102760448
1758270662,109051904
1758270692,111149056
1758270722,114294784
1758270752,116391936
1758270782,120586240
1758270812,122683392
1758270842,128974848
1758270872,131072000
1758270902,136314880
1758270932,138412032
1758496830,10485760
1758496860,186646528
1758496890,203423744
1758496920,205520896
1758496950,217055232
1758496980,219152384
1758497010,225443840
1758497040,227540992
1758497070,232783872
1758497100,234881024
1758497130,246415360
1758497160,250609664
1758497190,257949696
1758497220,262144000
1758497250,269484032
1758497280,273678336
1758497310,279969792
1758497340,282066944
1758497370,288358400
1758497400,19922944
1758497430,236978176
1758497460,7340032
1758497490,14680064
1758497520,16777216
1758497550,23068672
1758497580,26214400
1758497610,31457280
1758497640,34603008
1758497670,42991616
1758497700,46137344
1758497730,89128960
1758497760,91226112
1758497790,98566144
1758497820,100663296
1758497850,106954752
1758497880,124780544
1758497910,130023424
1758497940,133169152
1758497970,138412032
1758498000,140509184
1758498030,146800640
1758498060,148897792
1758498090,155189248
1758498120,173015040
1758498150,178257920
1758498180,180355072
1758498210,185597952
1758498240,188743680
1758498270,193986560
1758498300,196083712
1758498330,202375168
1758498360,204472320
1758498390,208666624
1758498420,221249536
1758498450,227540992
1758498480,229638144
1758498510,234881024
1758498540,236978176
1758498570,242221056
1758498780,273678336
1758498810,143654912
1758498840,164626432
1758498870,167772160
1758498900,173015040
1758498930,175112192
1758498960,180355072
1758498990,182452224
1758499020,223346688
1758499050,226492416
1758499080,231735296
1758499110,233832448
1758499140,240123904
1758499170,243269632
1758499200,248512512
1758499230,250609664
1758499260,255852544
1758499290,257949696
1758499320,263192576
1758499350,266338304
1758499380,96468992
1758499410,100663296
1758499440,106954752
1758499470,111149056
1758499500,124780544
1758499530,153092096
1758499560,161480704
1758499590,163577856
1758499620,168820736
1758499650,173015040
1758499680,179306496
1758499710,181403648
1758499740,187695104
1758499770,190840832
1758499800,202375168
1758499830,205520896
1758499860,210763776
1758499890,213909504
1758499920,90177536
1758499980,179306496
1758500010,40894464
1758500040,59768832
1758500070,70254592
1758500100,84934656
1758500130,88080384
1758500160,74448896
1758500190,79691776
1758500220,18874368
1758500250,23068672
1758500280,34603008
1758500310,37748736
1758500340,44040192
1758500370,46137344
1758500400,58720256
1758500430,63963136
1758500460,68157440
1758500490,72351744
1758500520,78643200
1758500550,81788928
1758500580,210763776
1758500610,213909504
1758500640,223346688
1758500670,228589568
1758500700,287309824
1758500730,49283072
1758500760,56623104
1758500790,101711872
1758500820,118489088
1758500850,168820736
1758500880,207618048
1758500910,242221056
1758500940,250609664
1758500970,282066944
1758501000,287309824
1758501030,290455552
1758501060,295698432
1758501090,298844160
1758501120,4194304
1758501150,6291456
1758501180,12582912
1758501211,15728640
1758501241,19922944
1758501271,23068672
1758501301,28311552
1758501331,29360128
1758501361,34603008
1758501391,37748736
1758501421,42991616
1758501451,44040192
1758501481,49283072
1758501511,51380224
1758501541,56623104
1758501571,57671680
1758501601,62914560
1758501631,65011712
1758501661,70254592
1758501691,74448896
1758501721,81788928
1758501751,83886080
1758501781,98566144
1758501811,108003328
1758501841,119537664
1758501871,128974848
1758501901,135266304
1758501931,137363456
1758501961,142606336
1758501991,145752064
1758502021,150994944
1758502051,152043520
1758502081,156237824
1758502111,158334976
1758502141,163577856
1758502171,164626432
1758502201,169869312
1758502231,171966464
1758502261,177209344
1758502291,179306496
1758502321,183500800
1758502351,185597952
1758502381,191889408
1758502411,193986560
1758502441,198180864
1758502471,200278016
1758502501,205520896
1758502531,208666624
1758502561,39845888
1758502591,41943040
1758502621,62914560
1758502651,65011712
