t,value
1758264660,81767928
1758264690,81767928
1758264720,81767928
1758264750,81767928
1758264780,81767928
1758264810,81623944
1758264840,95743616
1758264870,95743616
1758264900,95743616
1758264930,95743616
1758265140,97282728
1758265170,97282728
1758265200,97282728
1758265230,97282728
1758265260,97282728
1758265290,97282728
1758265320,97282728
1758265350,97282728
1758265380,97282728
1758265410,97282728
1758265440,97282728
1758265470,97282728
1758266100,48177240
1758266130,99496192
1758266160,99496192
1758266190,88379104
1758266220,88379104
1758266250,88379104
1758266400,91966936
1758266430,91966936
1758266460,91966936
1758266490,91966936
1758266520,91966936
1758266550,91966936
1758266580,91966936
1758266610,91966936
1758266640,91966936
1758266670,91966936
1758266700,91966936
1758266730,91966936
1758266760,91966936
1758266790,91966936
1758266820,91966936
1758266850,91966936
1758266880,91966936
1758266910,91966936
1758266940,91966936
1758266970,91966936
1758267000,88821208
1758267030,88821208
1758267060,88821208
1758267090,88821208
1758267120,88821208
1758267150,88821208
1758267180,88821208
1758267210,88821208
1758267240,88821208
1758267270,88821208
1758267300,88821208
1758267330,88821208
1758267360,88821208
1758267390,88821208
1758267420,88821208
1758267450,88821208
1758267480,88821208
1758267510,88821208
1758267540,88821208
1758267570,88821208
1758267600,88821208
1758267630,88821208
1758267660,88821208
1758267690,88821208
1758267720,88821208
1758267750,88821208
1758267780,88821208
1758267810,88821208
1758267840,88821208
1758267870,88821208
1758267900,88821208
1758267930,88821208
1758267960,88821208
1758267990,88821208
1758268020,88821208
1758268050,88821208
1758268080,88821208
1758268110,88821208
1758268140,88821208
1758268170,88821208
1758268200,88821208
1758268231,88821208
1758268261,88821208
1758268291,88821208
1758268321,88821208
1758268351,88821208
1758268381,88821208
1758268411,88821208
1758268441,88821208
1758268471,88821208
1758268501,88821208
1758268531,88821208
1758268561,88821208
1758268591,88821208
1758268621,88821208
1758268651,88821208
1758268681,88821208
1758268711,88821208
1758268741,88821208
1758268771,88821208
1758268801,88821208
1758268831,88821208
1758268861,88821208
1758268891,88821208
1758268921,88821208
1758268951,88821208
1758268981,88821208
1758269011,88821208
1758269041,88821208
1758269071,88821208
1758269101,88821208
1758269131,88821208
1758269161,88821208
1758269191,88821208
1758269221,88821208
1758269251,88821208
1758269281,88821208
1758269311,88821208
1758269341,88821208
1758269371,88821208
1758269401,88821208
1758269431,88821208
1758269461,88821208
1758269491,88821208
1758269521,88821208
1758269551,88821208
1758269581,88821208
1758269611,88821208
1758269641,88821208
1758269671,88821208
1758269701,88821208
1758269731,88821208
1758269761,88821208
1758269791,88821208
1758269821,88821208
1758269851,88821208
1758269881,88821208
1758269911,88821208
1758269941,88821208
1758269971,88821208
1758270001,88821208
1758270031,88821208
1758270061,88821208
1758270091,88821208
1758270121,88821208
1758270151,88821208
1758270181,88821208
1758270211,88821208
1758270241,88821208
1758270271,88821208
1758270301,88821208
1758270331,88821208
1758270362,88821208
1758270392,88821208
1758270422,88821208
1758270452,96963072
1758270482,96963072
1758270512,96963072
1758270542,96963072
1758270572,96963072
1758270602,96963072
1758270632,96963072
1758270662,96963072
1758270692,96963072
1758270722,96963072
1758270752,96963072
1758270782,96963072
1758270812,96963072
1758270842,96963072
1758270872,96963072
1758270902,96963072
1758270932,96963072
1758496830,60099064
1758496860,96724888
1758496890,96724888
1758496920,96724888
1758496950,96724888
1758496980,96724888
1758497010,96724888
1758497040,96724888
1758497070,96724888
1758497100,96724888
1758497130,96724888
1758497160,96724888
1758497190,96724888
1758497220,96724888
1758497250,96724888
1758497280,96724888
1758497310,96724888
1758497340,96724888
1758497370,96724888
1758497400,123634288
1758497430,123634288
1758497460,97419888
1758497490,97419888
1758497520,97419888
1758497550,97419888
1758497580,97419888
