t,value
1758264660,154
1758264690,161
1758264720,105
1758264750,110
1758264780,113
1758264810,127
1758264840,127
1758264870,127
1758264900,127
1758264930,127
1758265140,153
1758265170,156
1758265200,97
1758265230,97
1758265260,96
1758265290,96
1758265320,96
1758265350,96
1758265380,96
1758265410,97
1758265440,93
1758265470,292
1758266100,119
1758266130,156
1758266160,159
1758266190,127
1758266220,128
1758266250,351
1758266400,167
1758266430,169
1758266460,109
1758266490,109
1758266520,107
1758266550,107
1758266580,105
1758266610,106
1758266640,106
1758266670,104
1758266700,100
1758266730,99
1758266760,99
1758266790,99
1758266820,100
1758266850,106
1758266880,106
1758266910,106
1758266940,104
1758266970,104
1758267000,110
1758267030,110
1758267060,105
1758267090,105
1758267120,104
1758267150,104
1758267180,104
1758267210,104
1758267240,104
1758267270,104
1758267300,104
1758267330,104
1758267360,104
1758267390,104
1758267420,104
1758267450,104
1758267480,104
1758267510,104
1758267540,104
1758267570,104
1758267600,105
1758267630,105
1758267660,104
1758267690,104
1758267720,104
1758267750,104
1758267780,104
1758267810,104
1758267840,104
1758267870,104
1758267900,104
1758267930,104
1758267960,104
1758267990,104
1758268020,104
1758268050,104
1758268080,104
1758268110,104
1758268140,104
1758268170,104
1758268200,105
1758268231,105
1758268261,104
1758268291,104
1758268321,104
1758268351,104
1758268381,104
1758268411,104
1758268441,104
1758268471,104
1758268501,104
1758268531,104
1758268561,104
1758268591,104
1758268621,104
1758268651,104
1758268681,104
1758268711,104
1758268741,104
1758268771,104
1758268801,104
1758268831,104
1758268861,103
1758268891,103
1758268921,103
1758268951,103
1758268981,103
1758269011,103
1758269041,103
1758269071,103
1758269101,103
1758269131,103
1758269161,103
1758269191,103
1758269221,103
1758269251,103
1758269281,103
1758269311,103
1758269341,103
1758269371,103
1758269401,104
1758269431,104
1758269461,103
1758269491,103
1758269521,103
1758269551,103
1758269581,103
1758269611,103
1758269641,103
1758269671,103
1758269701,103
1758269731,103
1758269761,103
1758269791,103
1758269821,103
1758269851,103
1758269881,103
1758269911,103
1758269941,103
1758269971,103
1758270001,104
1758270031,104
1758270061,103
1758270091,103
1758270121,103
1758270151,103
1758270181,103
1758270211,103
1758270241,103
1758270271,103
1758270301,103
1758270331,103
1758270362,121
1758270392,121
1758270422,121
1758270452,123
1758270482,123
1758270512,123
1758270542,123
1758270572,123
1758270602,124
1758270632,123
1758270662,118
1758270692,117
1758270722,116
1758270752,116
1758270782,115
1758270812,115
1758270842,115
1758270872,115
1758270902,115
1758270932,115
1758496830,145
1758496860,165
1758496890,101
1758496920,98
1758496950,98
1758496980,98
1758497010,96
1758497040,96
1758497070,96
1758497100,96
1758497130,98
1758497160,99
1758497190,102
1758497220,108
1758497250,114
1758497280,120
1758497310,120
1758497340,120
1758497370,120
1758497400,120
1758497430,131
1758497460,130
1758497490,129
1758497520,126
1758497550,126
1758497580,124
1758497610,124
1758497640,124
1758497670,126
1758497700,126
1758497730,125
1758497760,125
1758497790,122
1758497820,121
1758497850,121
1758497880,125
1758497910,125
1758497940,122
1758497970,122
1758498000,121
1758498030,122
1758498060,122
1758498090,121
1758498120,121
1758498150,121
1758498180,121
1758498210,121
1758498240,121
1758498270,121
1758498300,121
1758498330,123
1758498360,123
1758498390,122
1758498420,124
1758498450,123
1758498480,122
1758498510,122
1758498540,121
1758498570,121
1758498780,128
1758498810,165
1758498840,109
1758498870,106
1758498900,106
1758498930,104
1758498960,106
1758498990,105
1758499020,120
1758499050,120
1758499080,119
1758499110,119
1758499140,118
1758499170,118
1758499200,117
1758499230,117
1758499260,116
1758499290,116
1758499320,112
1758499350,112
1758499380,119
1758499410,121
1758499440,116
1758499470,116
1758499500,119
1758499530,120
1758499560,120
1758499590,119
1758499620,118
1758499650,117
1758499680,117
1758499710,117
1758499740,117
1758499770,117
1758499800,118
1758499830,117
1758499860,116
1758499890,116
1758499920,260
1758499980,139
1758500010,151
1758500040,95
1758500070,93
1758500100,98
1758500130,101
1758500160,117
1758500190,116
1758500220,134
1758500250,134
1758500280,134
1758500310,134
1758500340,132
1758500370,132
1758500400,130
1758500430,130
1758500460,129
1758500490,128
1758500520,122
1758500550,122
1758500580,126
1758500610,127
1758500640,123
1758500670,123
1758500700,125
1758500730,124
1758500760,124
1758500790,124
1758500820,124
1758500850,125
1758500880,125
1758500910,123
1758500940,123
1758500970,122
1758501000,122
1758501030,120
1758501060,120
1758501090,118
1758501120,118
1758501150,117
1758501180,116
1758501211,117
1758501241,117
1758501271,115
1758501301,115
1758501331,113
1758501361,113
1758501391,112
1758501421,112
1758501451,111
1758501481,111
1758501511,110
1758501541,110
1758501571,109
1758501601,109
1758501631,108
1758501661,108
1758501691,110
1758501721,110
1758501751,110
1758501781,112
1758501811,114
1758501841,115
1758501871,114
1758501901,114
1758501931,111
1758501961,111
1758501991,109
1758502021,109
1758502051,108
1758502081,108
1758502111,108
1758502141,108
1758502171,108
1758502201,108
1758502231,108
1758502261,108
1758502291,108
1758502321,108
1758502351,108
1758502381,109
1758502411,111
1758502441,110
1758502471,109
1758502501,109
1758502531,109
1758502561,118
1758502591,117
1758502621,115
1758502651,115
